Date,Forecast,Lower Bound,Upper Bound
2016-03-24,2283.0574703590432,1486.4585697101893,3079.656371007897
2016-03-25,2283.0574703590432,1486.4585696988468,3079.6563710192395
2016-03-26,2283.0574703590432,1486.4585696875042,3079.6563710305822
2016-03-27,2283.0574703590432,1486.458569676162,3079.6563710419246
2016-03-28,2283.0574703590432,1486.4585696648192,3079.6563710532673
2016-03-29,2283.0574703590432,1486.4585696534768,3079.6563710646096
2016-03-30,2283.0574703590432,1486.458569642134,3079.6563710759524
2016-03-31,2283.0574703590432,1486.4585696307918,3079.6563710872947
2016-04-01,2283.0574703590432,1486.4585696194492,3079.6563710986375
2016-04-02,2283.0574703590432,1486.4585696081067,3079.65637110998
2016-04-03,2283.0574703590432,1486.4585695967642,3079.656371121322
2016-04-04,2283.0574703590432,1486.4585695854216,3079.656371132665
2016-04-05,2283.0574703590432,1486.4585695740793,3079.656371144007
2016-04-06,2283.0574703590432,1486.4585695627366,3079.65637115535
2016-04-07,2283.0574703590432,1486.4585695513942,3079.656371166692
2016-04-08,2283.0574703590432,1486.4585695400515,3079.656371178035
2016-04-09,2283.0574703590432,1486.4585695287092,3079.6563711893773
2016-04-10,2283.0574703590432,1486.4585695173666,3079.65637120072
2016-04-11,2283.0574703590432,1486.458569506024,3079.6563712120624
2016-04-12,2283.0574703590432,1486.4585694946816,3079.6563712234047
2016-04-13,2283.0574703590432,1486.458569483339,3079.6563712347474
2016-04-14,2283.0574703590432,1486.4585694719965,3079.65637124609
2016-04-15,2283.0574703590432,1486.458569460654,3079.6563712574325
2016-04-16,2283.0574703590432,1486.4585694493117,3079.656371268775
2016-04-17,2283.0574703590432,1486.458569437969,3079.6563712801176
2016-04-18,2283.0574703590432,1486.4585694266266,3079.65637129146
2016-04-19,2283.0574703590432,1486.4585694152838,3079.6563713028027
2016-04-20,2283.0574703590432,1486.4585694039415,3079.656371314145
2016-04-21,2283.0574703590432,1486.458569392599,3079.6563713254873
2016-04-22,2283.0574703590432,1486.4585693812564,3079.65637133683
2016-04-23,2283.0574703590432,1486.458569369914,3079.656371348173
2016-04-24,2283.0574703590432,1486.4585693585714,3079.656371359515
2016-04-25,2283.0574703590432,1486.458569347229,3079.6563713708574
2016-04-26,2283.0574703590432,1486.4585693358863,3079.6563713822
2016-04-27,2283.0574703590432,1486.458569324544,3079.6563713935425
2016-04-28,2283.0574703590432,1486.4585693132012,3079.6563714048852
2016-04-29,2283.0574703590432,1486.458569301859,3079.6563714162276
2016-04-30,2283.0574703590432,1486.4585692905162,3079.6563714275703
2016-05-01,2283.0574703590432,1486.4585692791738,3079.6563714389126
2016-05-02,2283.0574703590432,1486.458569267831,3079.6563714502554
2016-05-03,2283.0574703590432,1486.4585692564888,3079.6563714615977
2016-05-04,2283.0574703590432,1486.458569245146,3079.6563714729405
2016-05-05,2283.0574703590432,1486.4585692338037,3079.6563714842828
2016-05-06,2283.0574703590432,1486.4585692224612,3079.6563714956255
2016-05-07,2283.0574703590432,1486.4585692111186,3079.656371506968
2016-05-08,2283.0574703590432,1486.458569199776,3079.65637151831
2016-05-09,2283.0574703590432,1486.4585691884336,3079.656371529653
2016-05-10,2283.0574703590432,1486.458569177091,3079.6563715409957
2016-05-11,2283.0574703590432,1486.4585691657485,3079.656371552338
2016-05-12,2283.0574703590432,1486.4585691544062,3079.6563715636803
2016-05-13,2283.0574703590432,1486.4585691430634,3079.656371575023
2016-05-14,2283.0574703590432,1486.458569131721,3079.6563715863654
2016-05-15,2283.0574703590432,1486.4585691203783,3079.656371597708
2016-05-16,2283.0574703590432,1486.458569109036,3079.6563716090504
2016-05-17,2283.0574703590432,1486.4585690976935,3079.6563716203927
2016-05-18,2283.0574703590432,1486.458569086351,3079.6563716317355
2016-05-19,2283.0574703590432,1486.4585690750084,3079.6563716430783
2016-05-20,2283.0574703590432,1486.458569063666,3079.6563716544206
2016-05-21,2283.0574703590432,1486.4585690523236,3079.656371665763
2016-05-22,2283.0574703590432,1486.4585690409808,3079.6563716771057
2016-05-23,2283.0574703590432,1486.4585690296385,3079.656371688448
2016-05-24,2283.0574703590432,1486.4585690182957,3079.6563716997907
